distance,status,duration,fuel_consumed,percentage,remainingFuel,datetime
112,3,224,0.0,86,750.0,2025-03-05 01:49:33.782427+00:00
111,3,233,0.0,87,751.0,2025-03-05 01:49:40.989413+00:00
122,3,241,11.0,85,740.0,2025-03-05 01:49:50.626018+00:00
105,3,250,0.0,87,757.0,2025-03-05 01:49:59.601529+00:00
114,3,259,9.0,86,748.0,2025-03-05 01:50:09.156028+00:00
112,3,269,0.0,86,750.0,2025-03-05 01:50:17.766623+00:00
111,3,277,0.0,87,751.0,2025-03-05 01:50:26.750335+00:00
112,3,286,0.0,86,750.0,2025-03-05 01:50:35.773982+00:00
112,3,295,0.0,86,750.0,2025-03-05 01:50:44.879475+00:00
112,3,304,0.0,86,750.0,2025-03-05 01:50:54.042524+00:00
112,3,314,0.0,87,750.0,2025-03-05 01:51:03.412564+00:00
112,3,323,0.0,86,750.0,2025-03-05 01:51:12.775448+00:00
112,3,332,0.0,87,750.0,2025-03-05 01:51:21.502472+00:00
113,3,341,1.0,86,749.0,2025-03-05 01:51:28.857082+00:00
112,3,348,0.0,86,750.0,2025-03-05 01:51:36.242296+00:00
112,3,357,0.0,86,750.0,2025-03-05 01:51:44.476000+00:00
112,3,364,0.0,86,750.0,2025-03-05 01:51:52.449342+00:00
206,3,372,93.0,76,656.0,2025-03-05 01:51:59.783431+00:00
433,2,380,226.0,49,429.0,2025-03-05 01:52:07.583616+00:00
9,3,387,0.0,98,853.0,2025-03-05 01:52:14.819348+00:00
112,3,1,0.0,86,750.0,2025-03-05 01:52:49.544472+00:00
112,3,10,0.0,86,750.0,2025-03-05 01:52:58.713437+00:00
110,3,1,0.0,87,752.0,2025-03-05 02:59:30.911168+00:00
6,3,15,0.0,99,856.0,2025-03-05 02:59:39.569761+00:00
9,3,23,2.0,98,853.0,2025-03-05 02:59:51.505317+00:00
111,3,35,102.0,87,751.0,2025-03-05 03:00:00.529992+00:00
110,3,44,0.0,87,752.0,2025-03-05 03:00:09.201085+00:00
111,3,53,0.0,87,751.0,2025-03-05 03:00:17.965202+00:00
111,3,62,0.0,87,751.0,2025-03-05 03:00:26.769449+00:00
111,3,70,0.0,87,751.0,2025-03-05 03:00:35.409731+00:00
115,3,1,2.0,86,747.0,2025-03-05 03:02:00.549159+00:00
111,3,10,0.0,87,751.0,2025-03-05 03:02:09.219548+00:00
111,3,19,0.0,87,751.0,2025-03-05 03:02:17.767468+00:00
110,3,28,0.0,87,752.0,2025-03-05 03:02:26.943384+00:00
112,3,37,1.0,86,750.0,2025-03-05 03:02:35.992148+00:00
111,3,46,0.0,87,751.0,2025-03-05 03:02:44.460036+00:00
141,3,1,30.0,83,721.0,2025-03-05 03:03:05.982825+00:00
111,3,1,0.0,87,751.0,2025-03-05 03:04:00.130813+00:00
112,3,1,1.0,86,750.0,2025-03-05 03:04:30.218698+00:00
111,3,1,0.0,87,751.0,2025-03-05 03:04:40.942682+00:00
110,3,905,0.0,87,752.0,2025-03-05 03:19:52.365170+00:00
111,3,1816,0.0,87,751.0,2025-03-05 03:35:01.886943+00:00
109,3,2726,0.0,87,753.0,2025-03-05 03:50:12.940226+00:00
110,3,3637,0.0,87,752.0,2025-03-05 04:05:21.315353+00:00
110,3,4545,0.0,87,752.0,2025-03-05 04:20:30.760738+00:00
109,3,5454,0.0,87,753.0,2025-03-05 04:35:39.347125+00:00
110,3,6363,0.0,87,752.0,2025-03-05 04:50:47.551048+00:00
109,3,7271,0.0,87,753.0,2025-03-05 05:05:56.983597+00:00
